"","n","k","runtime"
"273",2540001,2001,18.6140000000005
"274",2560001,2001,14.2609999999995
"275",2580001,2001,72.4619999999995
"276",2600001,2001,33.0320000000002
"277",2620001,2001,17.5150000000003
"278",2640001,2001,26.0810000000001
"279",2660001,2001,20.1840000000002
"280",2680001,2001,23.5879999999997
"281",2700001,2001,22.1329999999998
"282",2720001,2001,26.2829999999994
"283",2740001,2001,19.5059999999994
"284",2760001,2001,24.6780000000008
"285",2780001,2001,17.8609999999999
"286",2800001,2001,25.7950000000001
"287",2820001,2001,18.4579999999996
"288",2840001,2001,16.8730000000005
"289",2860001,2001,19.0619999999999
"290",2880001,2001,20.0829999999996
"291",1,4001,0.436000000000604
"292",20001,4001,3.6860000000006
"293",40001,4001,7.04799999999977
"294",60001,4001,3.78800000000047
"295",80001,4001,7.78500000000076
"296",100001,4001,16.0459999999994
"297",120001,4001,5.21900000000005
"298",140001,4001,5.34400000000005
"299",160001,4001,6.28799999999956
"300",180001,4001,2.30799999999999
"301",200001,4001,2.53400000000056
"302",220001,4001,2.09100000000035
"303",240001,4001,2.43599999999969
"304",260001,4001,1.78499999999985
"305",280001,4001,1.98400000000038
"306",300001,4001,2.22699999999986
"307",320001,4001,0.859999999999673
"308",340001,4001,2.48499999999967
"309",360001,4001,2.82499999999982
"310",380001,4001,2.55000000000018
"311",400001,4001,4.69999999999982
"312",420001,4001,2.15200000000004
"313",440001,4001,2.44200000000001
"314",460001,4001,3.63599999999951
"315",480001,4001,2.97699999999986
"316",500001,4001,4.86700000000019
"317",520001,4001,3.32000000000062
"318",540001,4001,7.15000000000055
"319",560001,4001,4.13500000000022
"320",580001,4001,5.58100000000013
"321",600001,4001,3.02100000000064
"322",620001,4001,3.23599999999988
"323",640001,4001,7.51500000000033
"324",660001,4001,7.73700000000008
"325",680001,4001,5.4409999999998
"326",700001,4001,11.2370000000001
"327",720001,4001,4.71799999999985
"328",740001,4001,3.95499999999993
"329",760001,4001,6.9940000000006
"330",780001,4001,2.3769999999995
"331",800001,4001,12.1580000000004
"332",820001,4001,5.09799999999996
"333",840001,4001,6.12199999999939
"334",860001,4001,2.95699999999943
"335",880001,4001,5.3130000000001
"336",900001,4001,4.66900000000078
"337",920001,4001,5.44200000000001
"338",940001,4001,5.58800000000065
"339",960001,4001,2.88599999999951
"340",980001,4001,5.10300000000007
"341",1000001,4001,8.99900000000071
"342",1020001,4001,4.86800000000039
"343",1040001,4001,13.5479999999998
"344",1060001,4001,9.54899999999998
"345",1080001,4001,12.5640000000003
"346",1100001,4001,12.9669999999996
"347",1120001,4001,8.4369999999999
"348",1140001,4001,10.2390000000005
"349",1160001,4001,9.67299999999977
"350",1180001,4001,14.1450000000004
"351",1200001,4001,7
"352",1220001,4001,8.02799999999934
"353",1240001,4001,6.11999999999989
"354",1260001,4001,9.45499999999993
"355",1280001,4001,30.9759999999997
"356",1300001,4001,14.2280000000001
"357",1320001,4001,25.6049999999996
"358",1340001,4001,16.183
"359",1360001,4001,37.4209999999994
"360",1380001,4001,20.799
"361",1400001,4001,9.72400000000016
"362",1420001,4001,8.50699999999961
"363",1440001,4001,6.24499999999989
"364",1460001,4001,4.75399999999991
"365",1480001,4001,8.41500000000087
"366",1500001,4001,10.21
"367",1520001,4001,11.3809999999994
"368",1540001,4001,9.19999999999982
"369",1560001,4001,6.40700000000015
"370",1580001,4001,6.46700000000055
"371",1600001,4001,7.70499999999993
"372",1620001,4001,14.9210000000003
"373",1640001,4001,8.07500000000073
"374",1660001,4001,10.4119999999994
"375",1680001,4001,9.34000000000015
"376",1700001,4001,7.8769999999995
"377",1720001,4001,8.22699999999986
"378",1740001,4001,6.98499999999967
"379",1760001,4001,7.16700000000037
"380",1780001,4001,8.38500000000022
"381",1800001,4001,8.31400000000031
"382",1820001,4001,11.732
"383",1840001,4001,11.5370000000003
"384",1860001,4001,7.23999999999978
"385",1880001,4001,6.2489999999998
"386",1900001,4001,9.27099999999973
"387",1920001,4001,10.1419999999998
"388",1940001,4001,11.6950000000006
"389",1960001,4001,9.86800000000039
"390",1980001,4001,8.02199999999993
"391",2000001,4001,6.54299999999967
"392",2020001,4001,16.6790000000001
"393",2040001,4001,10.2969999999996
"394",2060001,4001,11.7520000000004
"395",2080001,4001,10.308
"396",2100001,4001,8.73700000000008
"397",2120001,4001,10.9169999999995
"398",2140001,4001,8.52000000000044
"399",2160001,4001,7.78600000000006
"400",2180001,4001,14.2190000000001
"401",2200001,4001,9.45700000000033
"402",2220001,4001,9.90599999999995
"403",2240001,4001,20.5110000000004
"404",2260001,4001,14.723
"405",2280001,4001,17.4319999999998
"406",2300001,4001,15.8090000000002
"407",2320001,4001,15.0860000000002
"408",2340001,4001,47.5819999999994
"409",2360001,4001,18.8189999999995
"410",2380001,4001,27.6480000000001
"411",2400001,4001,15.0169999999998
"412",2420001,4001,35.8910000000005
"413",2440001,4001,16.3499999999995
"414",2460001,4001,11.2280000000001
"415",2480001,4001,16.049
"416",2500001,4001,17.7960000000003
"417",2520001,4001,22.1719999999996
"418",2540001,4001,16.9489999999996
"419",2560001,4001,14.4790000000003
"420",2580001,4001,26.3050000000003
"421",2600001,4001,24.1220000000003
"422",2620001,4001,26.2160000000003
"423",2640001,4001,24.768
"424",2660001,4001,21.1049999999996
"425",2680001,4001,26.8389999999999
"426",2700001,4001,20.8540000000003
"427",2720001,4001,14.6590000000006
"428",2740001,4001,16.3159999999998
"429",2760001,4001,15.4769999999999
"430",2780001,4001,27.183
"431",2800001,4001,22.201
"432",2820001,4001,21.4569999999994
"433",2840001,4001,16.3400000000001
"434",2860001,4001,13.2080000000005
"435",2880001,4001,24.8580000000002
"436",1,6001,2.49699999999939
"437",20001,6001,5.875
"438",40001,6001,1.80499999999938
"439",60001,6001,2.19800000000032
"440",80001,6001,2.5059999999994
"441",100001,6001,5.99099999999999
"442",120001,6001,1.74099999999999
"443",140001,6001,2.07200000000012
"444",160001,6001,10.0480000000007
"445",180001,6001,4.0659999999998
"446",200001,6001,6.53300000000036
"447",220001,6001,11.2350000000006
"448",240001,6001,2.62800000000061
"449",260001,6001,2.88799999999992
"450",280001,6001,2.44899999999961
"451",300001,6001,1.63299999999981
"452",320001,6001,3.57200000000012
"453",340001,6001,3.05299999999988
"454",360001,6001,6.84999999999945
"455",380001,6001,4.72200000000066
"456",400001,6001,2.9380000000001
"457",420001,6001,2.56899999999951
"458",440001,6001,2.29699999999957
"459",460001,6001,1.42900000000009
"460",480001,6001,2.9380000000001
"461",500001,6001,5.25200000000041
"462",520001,6001,5.44700000000012
"463",540001,6001,12.777
"464",560001,6001,9.22899999999936
"465",580001,6001,3.41799999999967
"466",600001,6001,4.76099999999951
"467",620001,6001,1.96799999999985
"468",640001,6001,3.04799999999977
"469",660001,6001,2.53999999999996
"470",680001,6001,3.38899999999921
"471",700001,6001,2.72500000000036
"472",720001,6001,4.96000000000004
"473",740001,6001,6.51200000000063
"474",760001,6001,3.90200000000004
"475",780001,6001,3.89900000000034
"476",800001,6001,2.03200000000015
"477",820001,6001,4.72299999999996
"478",840001,6001,10.4290000000001
"479",860001,6001,4.8130000000001
"480",880001,6001,8.93499999999949
"481",900001,6001,7.49299999999948
"482",920001,6001,8.97599999999966
"483",940001,6001,4.24499999999989
"484",960001,6001,4.20200000000023
"485",980001,6001,4.35999999999967
"486",1000001,6001,4.92399999999998
"487",1020001,6001,6.20899999999983
"488",1040001,6001,5.66100000000006
"489",1060001,6001,5.88199999999961
"490",1080001,6001,6.54899999999998
"491",1100001,6001,6.01000000000022
"492",1120001,6001,12.6869999999999
"493",1140001,6001,5.41600000000017
"494",1160001,6001,14.1629999999996
"495",1180001,6001,6.70700000000033
"496",1200001,6001,11.6139999999996
"497",1220001,6001,5.43000000000029
"498",1240001,6001,4.80600000000049
"499",1260001,6001,5.24099999999999
"500",1280001,6001,4.5659999999998
"501",1300001,6001,7.64999999999964
"502",1320001,6001,5.44999999999982
"503",1340001,6001,6.12700000000041
"504",1360001,6001,7.23899999999958
"505",1380001,6001,7.88900000000012
"506",1400001,6001,17.6440000000002
"507",1420001,6001,6.10600000000068
"508",1440001,6001,6.54799999999977
"509",1460001,6001,11.5260000000007
"510",1480001,6001,13.2029999999995
"511",1500001,6001,7.73000000000047
"512",1520001,6001,6.86800000000039
"513",1540001,6001,5.96399999999994
"514",1560001,6001,16.1480000000001
"515",1580001,6001,11.7049999999999
"516",1600001,6001,7.94599999999991
"517",1620001,6001,6.51100000000042
"518",1640001,6001,4.91600000000017
"519",1660001,6001,4.83400000000074
"520",1680001,6001,4.53099999999995
"521",1700001,6001,18.0320000000002
"522",1720001,6001,8.90300000000025
"523",1740001,6001,6.38900000000012
"524",1760001,6001,7
"525",1780001,6001,6.10499999999956
"526",1800001,6001,5.19300000000021
"527",1820001,6001,7.07700000000023
"528",1840001,6001,13.0519999999997
"529",1860001,6001,7.19700000000012
"530",1880001,6001,7.42299999999977
"531",1900001,6001,8.55199999999968
"532",1920001,6001,10.1710000000003
"533",1940001,6001,7.98199999999997
"534",1960001,6001,9.09100000000035
"535",1980001,6001,7.97299999999996
"536",2000001,6001,8.25700000000052
"537",2020001,6001,13.2140000000009
"538",2040001,6001,16.2150000000001
"539",2060001,6001,15.0450000000001
"540",2080001,6001,13.2479999999996
"541",2100001,6001,14.6510000000007
"542",2120001,6001,11.7399999999998
"543",2140001,6001,7.86999999999989
"544",2160001,6001,7.04599999999937
"545",2180001,6001,9.96900000000005
"546",2200001,6001,12.7819999999992
"547",2220001,6001,10.5640000000003
"548",2240001,6001,7.63500000000022
"549",2260001,6001,7.09900000000016
"550",2280001,6001,7.36700000000019
"551",2300001,6001,5.32899999999972
"552",2320001,6001,12.7029999999995
"553",2340001,6001,12.8670000000002
"554",2360001,6001,14.0729999999994
"555",2380001,6001,11.107
"556",2400001,6001,9.19599999999991
"557",2420001,6001,10.3919999999998
"558",2440001,6001,8.23800000000028
"559",2460001,6001,7.85500000000047
"560",2480001,6001,9.79899999999998
"561",2500001,6001,7.64699999999993
"562",2520001,6001,10.8249999999998
"563",2540001,6001,10.0219999999999
"564",2560001,6001,9.59100000000035
"565",2580001,6001,12.348
"566",2600001,6001,11.5150000000003
"567",2620001,6001,17.1109999999999
"568",2640001,6001,11.8899999999994
"569",2660001,6001,11.8000000000002
"570",2680001,6001,9.49699999999939
"571",2700001,6001,11.8490000000002
"572",2720001,6001,16.9429999999993
"573",2740001,6001,14.4339999999993
"574",2760001,6001,9.35000000000036
"575",2780001,6001,11.2200000000003
"576",2800001,6001,9.50399999999991
"577",2820001,6001,21.5940000000001
"578",2840001,6001,15.1080000000002
"579",2860001,6001,11.0259999999998
"580",2880001,6001,9.26600000000053
"581",1,8001,0.740999999999985
"582",20001,8001,2.51499999999942
"583",40001,8001,1.22100000000046
"584",60001,8001,1.47299999999996
"585",80001,8001,1.98199999999997
"586",100001,8001,0.880000000000109
"587",120001,8001,1.7489999999998
"588",140001,8001,0.444999999999709
"589",160001,8001,1.35400000000027
"590",180001,8001,0.79700000000048
"591",200001,8001,1.21999999999935
"592",220001,8001,0.811999999999898
"593",240001,8001,1.44700000000012
"594",260001,8001,1.01099999999951
"595",280001,8001,21.9459999999999
"596",300001,8001,15.1639999999998
"597",320001,8001,9.20699999999943
"598",340001,8001,4.09600000000046
"599",360001,8001,5.47400000000016
"600",380001,8001,2.45000000000073
"601",400001,8001,3.84500000000025
"602",420001,8001,2.9340000000002
"603",440001,8001,2.13299999999981
"604",460001,8001,1.36700000000019
"605",480001,8001,2.50999999999931
"606",500001,8001,1.54899999999998
"607",520001,8001,1.56999999999971
"608",540001,8001,2.13299999999981
"609",560001,8001,1.12100000000009
"610",580001,8001,2.36300000000028
"611",600001,8001,3.29800000000068
"612",620001,8001,3.86999999999989
"613",640001,8001,2.8760000000002
"614",660001,8001,1.56299999999919
"615",680001,8001,3.21299999999974
"616",700001,8001,2.8090000000002
"617",720001,8001,2.06600000000071
"618",740001,8001,2.72100000000046
"619",760001,8001,6.00900000000001
"620",780001,8001,4.21299999999974
"621",800001,8001,12.4880000000003
"622",820001,8001,4.09900000000016
"623",840001,8001,4.82999999999993
"624",860001,8001,3.85400000000027
"625",880001,8001,2.49499999999989
"626",900001,8001,4.51000000000022
"627",920001,8001,2.55799999999999
"628",940001,8001,2.71799999999985
"629",960001,8001,3.24499999999989
"630",980001,8001,3.02899999999954
"631",1000001,8001,2.80199999999968
"632",1020001,8001,3.79799999999977
"633",1040001,8001,2.47600000000057
"634",1060001,8001,5.91200000000026
"635",1080001,8001,2.19700000000012
"636",1100001,8001,4.72999999999956
"637",1120001,8001,2.23999999999978
"638",1140001,8001,3.83600000000024
"639",1160001,8001,4.72800000000007
"640",1180001,8001,4.39999999999964
"641",1200001,8001,4.58200000000033
"642",1220001,8001,4.73099999999977
"643",1240001,8001,4.25399999999991
"644",1260001,8001,8.35300000000007
"645",1280001,8001,8.90799999999945
"646",1300001,8001,6.77300000000014
"647",1320001,8001,8.31099999999969
"648",1340001,8001,6.15400000000045
"649",1360001,8001,5.5659999999998
"650",1380001,8001,6.35199999999986
"651",1400001,8001,7.28399999999965
"652",1420001,8001,5.07399999999961
"653",1440001,8001,4.69399999999951
"654",1460001,8001,3.68599999999969
"655",1480001,8001,6.16200000000026
"656",1500001,8001,6.58899999999994
"657",1520001,8001,6.1929999999993
"658",1540001,8001,5.72599999999966
"659",1560001,8001,5.59299999999985
"660",1580001,8001,6.51299999999992
"661",1600001,8001,8.91100000000006
"662",1620001,8001,6.13999999999942
"663",1640001,8001,6.24600000000009
"664",1660001,8001,9.83699999999953
"665",1680001,8001,10.7360000000008
"666",1700001,8001,45.7039999999997
"667",1720001,8001,16.6289999999999
"668",1740001,8001,15.0110000000004
"669",1760001,8001,10.1450000000004
"670",1780001,8001,11.4409999999989
"671",1800001,8001,8.67300000000068
"672",1820001,8001,11.773000000001
"673",1840001,8001,19.5730000000003
"674",1860001,8001,13.6620000000003
"675",1880001,8001,17.1689999999999
"676",1900001,8001,9.67200000000048
"677",1920001,8001,7.10900000000038
"678",1940001,8001,6.96200000000135
"679",1960001,8001,11.9940000000006
"680",1980001,8001,8.93400000000111
"681",2000001,8001,10.0889999999999
"682",2020001,8001,11.3850000000002
"683",2040001,8001,8.82799999999952
"684",2060001,8001,8.58300000000054
"685",2080001,8001,16.5200000000004
"686",2100001,8001,11.777
"687",2120001,8001,7.82999999999993
"688",2140001,8001,7.07099999999991
"689",2160001,8001,8.70899999999892
"690",2180001,8001,9.66200000000026
"691",2200001,8001,14.4169999999995
"692",2220001,8001,10.3869999999988
"693",2240001,8001,8.77499999999964
"694",2260001,8001,12.9519999999993
"695",2280001,8001,8.33600000000115
"696",2300001,8001,9.76000000000022
"697",2320001,8001,11.7530000000006
"698",2340001,8001,10.1170000000002
"699",2360001,8001,14.4699999999993
"700",2380001,8001,17.1589999999997
"701",2400001,8001,27.375
"702",2420001,8001,18.094000000001
"703",2440001,8001,18.5760000000009
"704",2460001,8001,18.8529999999992
"705",2480001,8001,107.846000000001
"706",2500001,8001,53.7309999999998
"707",2520001,8001,26.6329999999998
"708",2540001,8001,19.3330000000005
"709",2560001,8001,15.7250000000004
"710",2580001,8001,17.6200000000008
"711",2600001,8001,19.2100000000009
"712",2620001,8001,19.5149999999994
"713",2640001,8001,14.3400000000001
"714",2660001,8001,9.25799999999981
"715",2680001,8001,19.5
"716",2700001,8001,20.4490000000005
"717",2720001,8001,15.0240000000013
"718",2740001,8001,18.8729999999996
"719",2760001,8001,52.2890000000007
"720",2780001,8001,77.0779999999995
"721",2800001,8001,30.527
"722",2820001,8001,55.4309999999987
"723",2840001,8001,21.8880000000008
"724",2860001,8001,92.3469999999998
"725",2880001,8001,135.686000000002
